"PLU","CATEGORY","COMMODITY","VARIETY","ADDITIONAL VARIETY INFO","SIZE","NA SIZE","ROW SIZE","RESTRICTIONS","NOTES","AKA","TRADEMARK","BOTANICAL NAME","REVISION DATE","DATE ADDED","GPC","IMAGE"
"4339","","MELON","Spanish/Tendral","","","","","","","","","Cucumis melo","1999-12-31 00:00:00","1999-12-31 00:00:00","10006189",""
"4340","","MELON","Watermelon","Yellow","","","","","","","","Citrullus lanatus","1999-12-31 00:00:00","1999-12-31 00:00:00","10006037",""
"4341","","MELON","Watermelon","Yellow, Seedless","","","","","","","","Citrullus lanatus","1999-12-31 00:00:00","1999-12-31 00:00:00","10006037",""
"4342","","MELON","Retailer Assigned (includes pre-cut melons)","","","","","","","","","Cucumis melo","1999-12-31 00:00:00","1999-12-31 00:00:00","",""
"4343","","MELON","Retailer Assigned (includes pre-cut melons)","","","","","","","","","Cucumis melo","1999-12-31 00:00:00","1999-12-31 00:00:00","",""
"4344","","MELON","Retailer Assigned (includes pre-cut melons)","","","","","","","","","Cucumis melo","1999-12-31 00:00:00","1999-12-31 00:00:00","",""
"4345","","MELON","Retailer Assigned (includes pre-cut melons)","","","","","","","","","Cucumis melo","1999-12-31 00:00:00","1999-12-31 00:00:00","",""
"4346","","MELON","Retailer Assigned (includes pre-cut melons)","","","","","","","","","Cucumis melo","1999-12-31 00:00:00","1999-12-31 00:00:00","",""
"4347","","MELON","Retailer Assigned (includes pre-cut melons)","","","","","","","","","Cucumis melo","1999-12-31 00:00:00","1999-12-31 00:00:00","",""
"4348","","MELON","Retailer Assigned (includes pre-cut melons)","","","","","","","","","Cucumis melo","1999-12-31 00:00:00","1999-12-31 00:00:00","",""
"4349","","MELON","Retailer Assigned (includes pre-cut melons)","","","","","","","","","Cucumis melo","1999-12-31 00:00:00","1999-12-31 00:00:00","",""
"4350","","MELON","Retailer Assigned (includes pre-cut melons)","","","","","","","","","Cucumis melo","1999-12-31 00:00:00","1999-12-31 00:00:00","",""
"4351","","MELON","Retailer Assigned (includes pre-cut melons)","","","","","","","","","Cucumis melo","1999-12-31 00:00:00","1999-12-31 00:00:00","",""
"4352","","MELON","Retailer Assigned (includes pre-cut melons)","","","","","","","","","Cucumis melo","1999-12-31 00:00:00","1999-12-31 00:00:00","",""
"4353","","MELON","Retailer Assigned (includes pre-cut melons)","","","","","","","","","Cucumis melo","1999-12-31 00:00:00","1999-12-31 00:00:00","",""
"4354","","MELON","Retailer Assigned (includes pre-cut melons)","","","","","","","","","Cucumis melo","1999-12-31 00:00:00","1999-12-31 00:00:00","",""
"4355","","MELON","Retailer Assigned (includes pre-cut melons)","","","","","","","","","Cucumis melo","1999-12-31 00:00:00","1999-12-31 00:00:00","",""
"4356","","MELON","Retailer Assigned (includes pre-cut melons)","","","","","","","","","Cucumis melo","1999-12-31 00:00:00","1999-12-31 00:00:00","",""
"4357","","MELON","Retailer Assigned (includes pre-cut melons)","","","","","","","","","Cucumis melo","1999-12-31 00:00:00","1999-12-31 00:00:00","",""
"4358","","MELON","Retailer Assigned (includes pre-cut melons)","","","","","","","","","Cucumis melo","1999-12-31 00:00:00","1999-12-31 00:00:00","",""
"4359","","MELON","Retailer Assigned (includes pre-cut melons)","","","","","","","","","Cucumis melo","1999-12-31 00:00:00","1999-12-31 00:00:00","",""
"4360","","MELON","Retailer Assigned (includes pre-cut melons)","","","","","","","","","Cucumis melo","1999-12-31 00:00:00","1999-12-31 00:00:00","",""
"4361","","MELON","Retailer Assigned (includes pre-cut melons)","","","","","","","","","Cucumis melo","1999-12-31 00:00:00","1999-12-31 00:00:00","",""
"4362","","MELON","Retailer Assigned (includes pre-cut melons)","","","","","","","","","Cucumis melo","1999-12-31 00:00:00","1999-12-31 00:00:00","",""
"4363","","MELON","Retailer Assigned (includes pre-cut melons)","","","","","","","","","Cucumis melo","1999-12-31 00:00:00","1999-12-31 00:00:00","",""
"4364","","MELON","Retailer Assigned (includes pre-cut melons)","","","","","","","","","Cucumis melo","1999-12-31 00:00:00","1999-12-31 00:00:00","",""
"4365","","MELON","Retailer Assigned (includes pre-cut melons)","","","","","","","","","Cucumis melo","1999-12-31 00:00:00","1999-12-31 00:00:00","",""
"4366","","MELON","Retailer Assigned (includes pre-cut melons)","","","","","","","","","Cucumis melo","1999-12-31 00:00:00","1999-12-31 00:00:00","",""
"4367","","MELON","Retailer Assigned (includes pre-cut melons)","","","","","","","","","Cucumis melo","1999-12-31 00:00:00","1999-12-31 00:00:00","",""
"4368","","MELON","Retailer Assigned (includes pre-cut melons)","","","","","","","","","Cucumis melo","1999-12-31 00:00:00","1999-12-31 00:00:00","",""
